y,x4,x5,x6,x7,x8,x9,x10,x4.x4,x4.x5,x4.x6,x4.x7,x4.x8,x4.x9,x4.x10,x5.x5,x5.x6,x5.x7,x5.x8,x5.x9,x5.x10,x6.x6,x6.x7,x6.x8,x6.x9,x6.x10,x7.x7,x7.x8,x7.x9,x7.x10,x8.x8,x8.x9,x8.x10,x9.x9,x9.x10,x10.x10
3,5320,11,45,25,5000,39,200,28302400,58520,239400,133000,26600000,207480,1064000,121,495,275,55000,429,2200,2025,1125,225000,1755,9000,625,125000,975,5000,2.50E+07,195000,1.00E+06,1521,7800,40000
7,5580,5,42,48,3608,24,100,31136400,27900,234360,267840,20132640,133920,558000,25,210,240,18040,120,500,1764,2016,151536,1008,4200,2304,173184,1152,4800,13017664,86592,360800,576,2400,10000
6,5510,5,50,45,5000,38,140,30360100,27550,275500,247950,27550000,209380,771400,25,250,225,25000,190,700,2500,2250,250000,1900,7000,2025,225000,1710,6300,2.50E+07,190000,7.00E+05,1444,5320,19600
3,5530,5,61,47,5000,56,200,30580900,27650,337330,259910,27650000,309680,1106000,25,305,235,25000,280,1000,3721,2867,305000,3416,12200,2209,235000,2632,9400,2.50E+07,280000,1.00E+06,3136,11200,40000
2,5620,9,61,43,5000,66,120,31584400,50580,342820,241660,28100000,370920,674400,81,549,387,45000,594,1080,3721,2623,305000,4026,7320,1849,215000,2838,5160,2.50E+07,330000,6.00E+05,4356,7920,14400
8,5690,0,60,49,613,-27,300,32376100,0,341400,278810,3487970,-153630,1707000,0,0,0,0,0,0,3600,2940,36780,-1620,18000,2401,30037,-1323,14700,375769,-16551,183900,729,-8100,90000
16,5780,5,53,61,488,-20,2,33408400,28900,306340,352580,2820640,-115600,11560,25,265,305,2440,-100,10,2809,3233,25864,-1060,106,3721,29768,-1220,122,238144,-9760,976,400,-40,4
9,5790,2,42,63,531,-15,50,33524100,11580,243180,364770,3074490,-86850,289500,4,84,126,1062,-30,100,1764,2646,22302,-630,2100,3969,33453,-945,3150,281961,-7965,26550,225,-750,2500
24,5760,3,60,70,508,7,70,33177600,17280,345600,403200,2926080,40320,403200,9,180,210,1524,21,210,3600,4200,30480,420,4200,4900,35560,490,4900,258064,3556,35560,49,490,4900
13,5700,4,82,57,1571,68,17,32490000,22800,467400,324900,8954700,387600,96900,16,328,228,6284,272,68,6724,4674,128822,5576,1394,3249,89547,3876,969,2468041,106828,26707,4624,1156,289
8,5680,4,57,35,721,28,140,32262400,22720,323760,198800,4095280,159040,795200,16,228,140,2884,112,560,3249,1995,41097,1596,7980,1225,25235,980,4900,519841,20188,100940,784,3920,19600
10,5710,5,77,57,902,54,250,32604100,28550,439670,325470,5150420,308340,1427500,25,385,285,4510,270,1250,5929,4389,69454,4158,19250,3249,51414,3078,14250,813604,48708,225500,2916,13500,62500
14,5720,4,71,42,1381,4,60,32718400,22880,406120,240240,7899320,22880,343200,16,284,168,5524,16,240,5041,2982,98051,284,4260,1764,58002,168,2520,1907161,5524,82860,16,240,3600
9,5710,3,19,55,5000,-16,100,32604100,17130,108490,314050,28550000,-91360,571000,9,57,165,15000,-48,300,361,1045,95000,-304,1900,3025,275000,-880,5500,2.50E+07,-80000,5.00E+05,256,-1600,10000
9,5690,7,70,57,1292,-5,200,32376100,39830,398300,324330,7351480,-28450,1138000,49,490,399,9044,-35,1400,4900,3990,90440,-350,14000,3249,73644,-285,11400,1669264,-6460,258400,25,-1000,40000
12,5730,6,45,58,5000,-14,100,32832900,34380,257850,332340,28650000,-80220,573000,36,270,348,30000,-84,600,2025,2610,225000,-630,4500,3364,290000,-812,5800,2.50E+07,-70000,5.00E+05,196,-1400,10000
8,5610,6,50,51,1404,42,120,31472100,33660,280500,286110,7876440,235620,673200,36,300,306,8424,252,720,2500,2550,70200,2100,6000,2601,71604,2142,6120,1971216,58968,168480,1764,5040,14400
9,5590,6,51,48,5000,44,300,31248100,33540,285090,268320,27950000,245960,1677000,36,306,288,30000,264,1800,2601,2448,255000,2244,15300,2304,240000,2112,14400,2.50E+07,220000,1500000,1936,13200,90000
13,5690,6,63,59,2014,31,300,32376100,34140,358470,335710,11459660,176390,1707000,36,378,354,12084,186,1800,3969,3717,126882,1953,18900,3481,118826,1829,17700,4056196,62434,604200,961,9300,90000
5,5550,7,63,41,5000,56,250,30802500,38850,349650,227550,27750000,310800,1387500,49,441,287,35000,392,1750,3969,2583,315000,3528,15750,1681,205000,2296,10250,2.50E+07,280000,1250000,3136,14000,62500
10,5620,7,57,58,5000,27,120,31584400,39340,320340,325960,28100000,151740,674400,49,399,406,35000,189,840,3249,3306,285000,1539,6840,3364,290000,1566,6960,2.50E+07,135000,6.00E+05,729,3240,14400
5,5560,4,65,40,5000,59,140,30913600,22240,361400,222400,27800000,328040,778400,16,260,160,20000,236,560,4225,2600,325000,3835,9100,1600,2.00E+05,2360,5600,2.50E+07,295000,7.00E+05,3481,8260,19600
7,5480,7,51,46,2490,29,300,30030400,38360,279480,252080,13645200,158920,1644000,49,357,322,17430,203,2100,2601,2346,126990,1479,15300,2116,114540,1334,13800,6200100,72210,747000,841,8700,90000
3,5620,5,73,39,5000,107,100,31584400,28100,410260,219180,28100000,601340,562000,25,365,195,25000,535,500,5329,2847,365000,7811,7300,1521,195000,4173,3900,2.50E+07,535000,5.00E+05,11449,10700,10000
15,5760,4,50,65,547,1,100,33177600,23040,288000,374400,3150720,5760,576000,16,200,260,2188,4,400,2500,3250,27350,50,5000,4225,35555,65,6500,299209,547,54700,1,100,10000
22,5790,4,57,66,413,10,120,33524100,23160,330030,382140,2391270,57900,694800,16,228,264,1652,40,480,3249,3762,23541,570,6840,4356,27258,660,7920,170569,4130,49560,100,1200,14400
17,5720,5,68,69,610,46,60,32718400,28600,388960,394680,3489200,263120,343200,25,340,345,3050,230,300,4624,4692,41480,3128,4080,4761,42090,3174,4140,372100,28060,36600,2116,2760,3600
7,5660,6,58,59,3638,81,120,32035600,33960,328280,333940,20591080,458460,679200,36,348,354,21828,486,720,3364,3422,211004,4698,6960,3481,214642,4779,7080,13235044,294678,436560,6561,9720,14400
10,5710,5,65,64,3848,45,100,32604100,28550,371150,365440,21972080,256950,571000,25,325,320,19240,225,500,4225,4160,250120,2925,6500,4096,246272,2880,6400,14807104,173160,384800,2025,4500,10000
12,5700,5,41,52,869,0,40,32490000,28500,233700,296400,4953300,0,228000,25,205,260,4345,0,200,1681,2132,35629,0,1640,2704,45188,0,2080,755161,0,34760,0,0,1600
6,5620,9,47,56,5000,43,140,31584400,50580,264140,314720,28100000,241660,786800,81,423,504,45000,387,1260,2209,2632,235000,2021,6580,3136,280000,2408,7840,2.50E+07,215000,7.00E+05,1849,6020,19600
9,5650,6,46,55,5000,49,150,31922500,33900,259900,310750,28250000,276850,847500,36,276,330,30000,294,900,2116,2530,230000,2254,6900,3025,275000,2695,8250,2.50E+07,245000,750000,2401,7350,22500
19,5730,5,61,66,1148,31,100,32832900,28650,349530,378180,6578040,177630,573000,25,305,330,5740,155,500,3721,4026,70028,1891,6100,4356,75768,2046,6600,1317904,35588,114800,961,3100,10000
21,5810,4,55,74,856,4,100,33756100,23240,319550,429940,4973360,23240,581000,16,220,296,3424,16,400,3025,4070,47080,220,5500,5476,63344,296,7400,732736,3424,85600,16,400,10000
11,5690,4,71,67,314,60,120,32376100,22760,403990,381230,1786660,341400,682800,16,284,268,1256,240,480,5041,4757,22294,4260,8520,4489,21038,4020,8040,98596,18840,37680,3600,7200,14400
12,5650,8,66,61,1410,20,140,31922500,45200,372900,344650,7966500,113000,791000,64,528,488,11280,160,1120,4356,4026,93060,1320,9240,3721,86010,1220,8540,1988100,28200,197400,400,2800,19600
20,5760,7,78,74,1184,40,80,33177600,40320,449280,426240,6819840,230400,460800,49,546,518,8288,280,560,6084,5772,92352,3120,6240,5476,87616,2960,5920,1401856,47360,94720,1600,3200,6400
27,5830,6,75,74,898,24,70,33988900,34980,437250,431420,5235340,139920,408100,36,450,444,5388,144,420,5625,5550,67350,1800,5250,5476,66452,1776,5180,806404,21552,62860,576,1680,4900
33,5880,3,80,80,436,0,40,34574400,17640,470400,470400,2563680,0,235200,9,240,240,1308,0,120,6400,6400,34880,0,3200,6400,34880,0,3200,190096,0,17440,0,0,1600
25,5890,6,88,84,774,6,20,34692100,35340,518320,494760,4558860,35340,117800,36,528,504,4644,36,120,7744,7392,68112,528,1760,7056,65016,504,1680,599076,4644,15480,36,120,400
31,5850,4,76,78,1181,50,17,34222500,23400,444600,456300,6908850,292500,99450,16,304,312,4724,200,68,5776,5928,89756,3800,1292,6084,92118,3900,1326,1394761,59050,20077,2500,850,289
9,5730,5,71,67,4337,66,200,32832900,28650,406830,383910,24851010,378180,1146000,25,355,335,21685,330,1000,5041,4757,307927,4686,14200,4489,290579,4422,13400,18809569,286242,867400,4356,13200,40000
5,5750,3,76,65,3644,86,70,33062500,17250,437000,373750,20953000,494500,402500,9,228,195,10932,258,210,5776,4940,276944,6536,5320,4225,236860,5590,4550,13278736,313384,255080,7396,6020,4900
17,5780,8,92,68,1804,56,70,33408400,46240,531760,393040,10427120,323680,404600,64,736,544,14432,448,560,8464,6256,165968,5152,6440,4624,122672,3808,4760,3254416,101024,126280,3136,3920,4900
19,5740,6,71,69,3234,77,80,32947600,34440,407540,396060,18563160,441980,459200,36,426,414,19404,462,480,5041,4899,229614,5467,5680,4761,223146,5313,5520,10458756,249018,258720,5929,6160,6400
16,5730,6,64,66,3441,67,100,32832900,34380,366720,378180,19716930,383910,573000,36,384,396,20646,402,600,4096,4224,220224,4288,6400,4356,227106,4422,6600,11840481,230547,344100,4489,6700,10000
9,5690,8,67,64,2962,80,120,32376100,45520,381230,364160,16853780,455200,682800,64,536,512,23696,640,960,4489,4288,198454,5360,8040,4096,189568,5120,7680,8773444,236960,355440,6400,9600,14400
7,5650,6,66,61,2670,54,120,31922500,33900,372900,344650,15085500,305100,678000,36,396,366,16020,324,720,4356,4026,176220,3564,7920,3721,162870,3294,7320,7128900,144180,320400,2916,6480,14400
5,5610,3,61,52,5000,76,150,31472100,16830,342210,291720,28050000,426360,841500,9,183,156,15000,228,450,3721,3172,305000,4636,9150,2704,260000,3952,7800,2.50E+07,380000,750000,5776,11400,22500
12,5690,5,63,59,5000,46,140,32376100,28450,358470,335710,28450000,261740,796600,25,315,295,25000,230,700,3969,3717,315000,2898,8820,3481,295000,2714,8260,2.50E+07,230000,7.00E+05,2116,6440,19600
26,5830,4,71,74,898,-24,60,33988900,23320,413930,431420,5235340,-139920,349800,16,284,296,3592,-96,240,5041,5254,63758,-1704,4260,5476,66452,-1776,4440,806404,-21552,53880,576,-1440,3600
27,5880,6,67,83,777,-1,30,34574400,35280,393960,488040,4568760,-5880,176400,36,402,498,4662,-6,180,4489,5561,52059,-67,2010,6889,64491,-83,2490,603729,-777,23310,1,-30,900
11,5830,6,64,75,1046,69,80,33988900,34980,373120,437250,6098180,402270,466400,36,384,450,6276,414,480,4096,4800,66944,4416,5120,5625,78450,5175,6000,1094116,72174,83680,4761,5520,6400
23,5870,4,69,84,1167,50,60,34456900,23480,405030,493080,6850290,293500,352200,16,276,336,4668,200,240,4761,5796,80523,3450,4140,7056,98028,4200,5040,1361889,58350,70020,2500,3000,3600
15,5800,4,69,79,977,60,150,33640000,23200,400200,458200,5666600,348000,870000,16,276,316,3908,240,600,4761,5451,67413,4140,10350,6241,77183,4740,11850,954529,58620,146550,3600,9000,22500
15,5860,4,33,81,629,-11,140,34339600,23440,193380,474660,3685940,-64460,820400,16,132,324,2516,-44,560,1089,2673,20757,-363,4620,6561,50949,-891,11340,395641,-6919,88060,121,-1540,19600
18,5870,7,38,84,337,-14,140,34456900,41090,223060,493080,1978190,-82180,821800,49,266,588,2359,-98,980,1444,3192,12806,-532,5320,7056,28308,-1176,11760,113569,-4718,47180,196,-1960,19600
24,5910,4,73,88,1204,56,100,34928100,23640,431430,520080,7115640,330960,591000,16,292,352,4816,224,400,5329,6424,87892,4088,7300,7744,105952,4928,8800,1449616,67424,120400,3136,5600,10000
14,5830,3,63,79,2326,64,70,33988900,17490,367290,460570,13560580,373120,408100,9,189,237,6978,192,210,3969,4977,146538,4032,4410,6241,183754,5056,5530,5410276,148864,162820,4096,4480,4900
13,5850,9,72,77,3389,56,80,34222500,52650,421200,450450,19825650,327600,468000,81,648,693,30501,504,720,5184,5544,244008,4032,5760,5929,260953,4312,6160,11485321,189784,271120,3136,4480,6400
17,5830,6,82,81,2818,58,80,33988900,34980,478060,472230,16428940,338140,466400,36,492,486,16908,348,480,6724,6642,231076,4756,6560,6561,228258,4698,6480,7941124,163444,225440,3364,4640,6400
22,5810,8,69,76,2394,54,90,33756100,46480,400890,441560,13909140,313740,522900,64,552,608,19152,432,720,4761,5244,165186,3726,6210,5776,181944,4104,6840,5731236,129276,215460,2916,4860,8100
25,5840,7,72,82,1528,42,100,34105600,40880,420480,478880,8923520,245280,584000,49,504,574,10696,294,700,5184,5904,110016,3024,7200,6724,125296,3444,8200,2334784,64176,152800,1764,4200,10000
28,5870,6,73,84,111,40,60,34456900,35220,428510,493080,651570,234800,352200,36,438,504,666,240,360,5329,6132,8103,2920,4380,7056,9324,3360,5040,12321,4440,6660,1600,2400,3600
29,5870,4,90,86,1899,45,40,34456900,23480,528300,504820,11147130,264150,234800,16,360,344,7596,180,160,8100,7740,170910,4050,3600,7396,163314,3870,3440,3606201,85455,75960,2025,1800,1600
23,5860,3,80,80,1289,32,40,34339600,17580,468800,468800,7553540,187520,234400,9,240,240,3867,96,120,6400,6400,103120,2560,3200,6400,103120,2560,3200,1661521,41248,51560,1024,1280,1600
13,5880,4,78,84,826,27,80,34574400,23520,458640,493920,4856880,158760,470400,16,312,336,3304,108,320,6084,6552,64428,2106,6240,7056,69384,2268,6720,682276,22302,66080,729,2160,6400
26,5890,6,80,81,1105,39,80,34692100,35340,471200,477090,6508450,229710,471200,36,480,486,6630,234,480,6400,6480,88400,3120,6400,6561,89505,3159,6480,1221025,43095,88400,1521,3120,6400
22,5870,8,74,85,1023,46,80,34456900,46960,434380,498950,6005010,270020,469600,64,592,680,8184,368,640,5476,6290,75702,3404,5920,7225,86955,3910,6800,1046529,47058,81840,2116,3680,6400
9,5770,3,55,68,4291,60,200,33292900,17310,317350,392360,24759070,346200,1154000,9,165,204,12873,180,600,3025,3740,236005,3300,11000,4624,291788,4080,13600,18412681,257460,858200,3600,12000,40000
12,5790,4,65,65,3330,59,150,33524100,23160,376350,376350,19280700,341610,868500,16,260,260,13320,236,600,4225,4225,216450,3835,9750,4225,216450,3835,9750,11088900,196470,499500,3481,8850,22500
14,5840,7,65,79,1233,30,100,34105600,40880,379600,461360,7200720,175200,584000,49,455,553,8631,210,700,4225,5135,80145,1950,6500,6241,97407,2370,7900,1520289,36990,123300,900,3000,10000
24,5910,5,72,81,1069,28,80,34928100,29550,425520,478710,6317790,165480,472800,25,360,405,5345,140,400,5184,5832,76968,2016,5760,6561,86589,2268,6480,1142761,29932,85520,784,2240,6400
19,5890,5,79,80,984,57,70,34692100,29450,465310,471200,5795760,335730,412300,25,395,400,4920,285,350,6241,6320,77736,4503,5530,6400,78720,4560,5600,968256,56088,68880,3249,3990,4900
4,5780,7,70,66,5000,45,200,33408400,40460,404600,381480,28900000,260100,1156000,49,490,462,35000,315,1400,4900,4620,350000,3150,14000,4356,330000,2970,13200,2.50E+07,225000,1.00E+06,2025,9000,40000
6,5750,7,58,64,4212,46,200,33062500,40250,333500,368000,24219000,264500,1150000,49,406,448,29484,322,1400,3364,3712,244296,2668,11600,4096,269568,2944,12800,17740944,193752,842400,2116,9200,40000
12,5760,5,58,62,5000,52,250,33177600,28800,334080,357120,28800000,299520,1440000,25,290,310,25000,260,1250,3364,3596,290000,3016,14500,3844,310000,3224,15500,2.50E+07,260000,1250000,2704,13000,62500
15,5730,5,77,74,1545,43,70,32832900,28650,441210,424020,8852850,246390,401100,25,385,370,7725,215,350,5929,5698,118965,3311,5390,5476,114330,3182,5180,2387025,66435,108150,1849,3010,4900
22,5890,7,70,83,748,32,30,34692100,41230,412300,488870,4405720,188480,176700,49,490,581,5236,224,210,4900,5810,52360,2240,2100,6889,62084,2656,2490,559504,23936,22440,1024,960,900
24,5880,4,73,81,692,44,100,34574400,23520,429240,476280,4068960,258720,588000,16,292,324,2768,176,400,5329,5913,50516,3212,7300,6561,56052,3564,8100,478864,30448,69200,1936,4400,10000
32,5900,6,71,87,869,19,17,34810000,35400,418900,513300,5127100,112100,100300,36,426,522,5214,114,102,5041,6177,61699,1349,1207,7569,75603,1653,1479,755161,16511,14773,361,323,289
38,5950,5,62,92,557,0,60,35402500,29750,368900,547400,3314150,0,357000,25,310,460,2785,0,300,3844,5704,34534,0,3720,8464,51244,0,5520,310249,0,33420,0,0,3600
23,5950,8,61,93,620,27,30,35402500,47600,362950,553350,3689000,160650,178500,64,488,744,4960,216,240,3721,5673,37820,1647,1830,8649,57660,2511,2790,384400,16740,18600,729,810,900
19,5900,5,71,93,1404,33,70,34810000,29500,418900,548700,8283600,194700,413000,25,355,465,7020,165,350,5041,6603,99684,2343,4970,8649,130572,3069,6510,1971216,46332,98280,1089,2310,4900
19,5890,8,77,86,898,21,60,34692100,47120,453530,506540,5289220,123690,353400,64,616,688,7184,168,480,5929,6622,69146,1617,4620,7396,77228,1806,5160,806404,18858,53880,441,1260,3600
15,5860,7,71,76,377,-2,40,34339600,41020,416060,445360,2209220,-11720,234400,49,497,532,2639,-14,280,5041,5396,26767,-142,2840,5776,28652,-152,3040,142129,-754,15080,4,-80,1600
26,5810,6,82,80,895,0,100,33756100,34860,476420,464800,5199950,0,581000,36,492,480,5370,0,600,6724,6560,73390,0,8200,6400,71600,0,8000,801025,0,89500,0,0,10000
29,5830,5,77,72,1853,10,70,33988900,29150,448910,419760,10802990,58300,408100,25,385,360,9265,50,350,5929,5544,142681,770,5390,5184,133416,720,5040,3433609,18530,129710,100,700,4900
18,5840,5,78,75,2342,7,40,34105600,29200,455520,438000,13677280,40880,233600,25,390,375,11710,35,200,6084,5850,182676,546,3120,5625,175650,525,3000,5484964,16394,93680,49,280,1600
3,5800,7,72,55,5000,56,70,33640000,40600,417600,319000,2.90E+07,324800,406000,49,504,385,35000,392,490,5184,3960,360000,4032,5040,3025,275000,3080,3850,2.50E+07,280000,350000,3136,3920,4900
23,5780,6,76,72,3795,31,70,33408400,34680,439280,416160,21935100,179180,404600,36,456,432,22770,186,420,5776,5472,288420,2356,5320,5184,273240,2232,5040,14402025,117645,265650,961,2170,4900
13,5800,6,73,75,3120,35,40,33640000,34800,423400,435000,18096000,203000,232000,36,438,450,18720,210,240,5329,5475,227760,2555,2920,5625,234000,2625,3000,9734400,109200,124800,1225,1400,1600
7,5800,5,80,65,2667,17,100,33640000,29000,464000,377000,15468600,98600,580000,25,400,325,13335,85,500,6400,5200,213360,1360,8000,4225,173355,1105,6500,7112889,45339,266700,289,1700,10000
11,5770,5,75,64,308,25,140,33292900,28850,432750,369280,1777160,144250,807800,25,375,320,1540,125,700,5625,4800,23100,1875,10500,4096,19712,1600,8960,94864,7700,43120,625,3500,19600
12,5750,4,68,61,2982,18,120,33062500,23000,391000,350750,17146500,103500,690000,16,272,244,11928,72,480,4624,4148,202776,1224,8160,3721,181902,1098,7320,8892324,53676,357840,324,2160,14400
5,5640,5,93,63,5000,30,70,31809600,28200,524520,355320,28200000,169200,394800,25,465,315,25000,150,350,8649,5859,465000,2790,6510,3969,315000,1890,4410,2.50E+07,150000,350000,900,2100,4900
4,5640,7,57,62,5000,25,150,31809600,39480,321480,349680,28200000,141000,846000,49,399,434,35000,175,1050,3249,3534,285000,1425,8550,3844,310000,1550,9300,2.50E+07,125000,750000,625,3750,22500
5,5650,3,70,59,5000,38,200,31922500,16950,395500,333350,28250000,214700,1130000,9,210,177,15000,114,600,4900,4130,350000,2660,14000,3481,295000,2242,11800,2.50E+07,190000,1.00E+06,1444,7600,40000
17,5840,4,73,72,830,0,70,34105600,23360,426320,420480,4847200,0,408800,16,292,288,3320,0,280,5329,5256,60590,0,5110,5184,59760,0,5040,688900,0,58100,0,0,4900
26,5880,3,77,71,711,-9,40,34574400,17640,452760,417480,4180680,-52920,235200,9,231,213,2133,-27,120,5929,5467,54747,-693,3080,5041,50481,-639,2840,505521,-6399,28440,81,-360,1600
30,5890,5,80,75,1049,-10,50,34692100,29450,471200,441750,6178610,-58900,294500,25,400,375,5245,-50,250,6400,6000,83920,-800,4000,5625,78675,-750,3750,1100401,-10490,52450,100,-500,2500
18,5890,4,73,71,511,-39,17,34692100,23560,429970,418190,3009790,-229710,100130,16,292,284,2044,-156,68,5329,5183,37303,-2847,1241,5041,36281,-2769,1207,261121,-19929,8687,1521,-663,289
28,5860,5,86,73,492,-2,7,34339600,29300,503960,427780,2883120,-11720,41020,25,430,365,2460,-10,35,7396,6278,42312,-172,602,5329,35916,-146,511,242064,-984,3444,4,-14,49
