season,holiday,weekday,workingday,weathersit,temp,atemp,hum,cnt
3,0,5,1,1,0.7225,0.652162,0.39625,5362
3,0,6,0,1,0.738333,0.667308,0.444583,5119
3,0,0,0,2,0.716667,0.668575,0.6825,4649
3,1,1,0,2,0.726667,0.665417,0.637917,6043
3,0,2,1,1,0.746667,0.696338,0.590417,4665
3,0,3,1,1,0.72,0.685633,0.743333,4629
3,0,4,1,1,0.75,0.686871,0.65125,4592
3,0,5,1,2,0.709167,0.670483,0.757917,4040
3,0,6,0,1,0.733333,0.664158,0.609167,5336
3,0,0,0,1,0.7475,0.690025,0.578333,4881
3,0,1,1,1,0.7625,0.729804,0.635833,4086
3,0,2,1,1,0.794167,0.739275,0.559167,4258
3,0,3,1,1,0.746667,0.689404,0.631667,4342
3,0,4,1,1,0.680833,0.635104,0.47625,5084
3,0,5,1,1,0.663333,0.624371,0.59125,5538
3,0,6,0,1,0.686667,0.638263,0.585,5923
3,0,0,0,1,0.719167,0.669833,0.604167,5302
3,0,1,1,1,0.746667,0.703925,0.65125,4458
3,0,2,1,1,0.776667,0.747479,0.650417,4541
3,0,3,1,1,0.768333,0.74685,0.707083,4332
3,0,4,1,2,0.815,0.826371,0.69125,3784
3,0,5,1,1,0.848333,0.840896,0.580417,3387
3,0,6,0,1,0.849167,0.804287,0.5,3285
3,0,0,0,1,0.83,0.794829,0.550833,3606
3,0,1,1,1,0.743333,0.720958,0.757083,3840
3,0,2,1,1,0.771667,0.696979,0.540833,4590
3,0,3,1,1,0.775,0.690667,0.402917,4656
3,0,4,1,1,0.779167,0.7399,0.583333,4390
3,0,5,1,1,0.838333,0.785967,0.5425,3846
3,0,6,0,1,0.804167,0.728537,0.465833,4475
3,0,0,0,1,0.805833,0.729796,0.480833,4302
3,0,1,1,1,0.771667,0.703292,0.550833,4266
3,0,2,1,1,0.783333,0.707071,0.49125,4845
3,0,3,1,2,0.731667,0.679937,0.6575,3574
3,0,4,1,2,0.71,0.664788,0.7575,4576
3,0,5,1,1,0.710833,0.656567,0.630833,4866
3,0,6,0,2,0.716667,0.676154,0.755,4294
3,0,0,0,1,0.7425,0.715292,0.752917,3785
3,0,1,1,1,0.765,0.703283,0.592083,4326
3,0,2,1,1,0.775,0.724121,0.570417,4602
3,0,3,1,1,0.766667,0.684983,0.424167,4780
3,0,4,1,1,0.7175,0.651521,0.42375,4792
3,0,5,1,1,0.708333,0.654042,0.415,4905
3,0,6,0,2,0.685833,0.645858,0.729583,4150
3,0,0,0,2,0.676667,0.624388,0.8175,3820
3,0,1,1,1,0.665833,0.616167,0.712083,4338
3,0,2,1,1,0.700833,0.645837,0.578333,4725
3,0,3,1,1,0.723333,0.666671,0.575417,4694
3,0,4,1,1,0.711667,0.662258,0.654583,3805
3,0,5,1,2,0.685,0.633221,0.722917,4153
3,0,6,0,1,0.6975,0.648996,0.674167,5191
3,0,0,0,1,0.710833,0.675525,0.77,3873
3,0,1,1,1,0.691667,0.638254,0.47,4758
3,0,2,1,1,0.640833,0.606067,0.455417,5895
3,0,3,1,1,0.673333,0.630692,0.605,5130
3,0,4,1,2,0.684167,0.645854,0.771667,3542
3,0,5,1,1,0.7,0.659733,0.76125,4661
3,0,6,0,2,0.68,0.635556,0.85,1115
3,0,0,0,1,0.707059,0.647959,0.561765,4334
3,0,1,1,1,0.636667,0.607958,0.554583,4634
3,0,2,1,1,0.639167,0.594704,0.548333,5204
3,0,3,1,1,0.656667,0.611121,0.597917,5058
3,0,4,1,1,0.655,0.614921,0.639167,5115
3,0,5,1,2,0.643333,0.604808,0.727083,4727
3,0,6,0,1,0.669167,0.633213,0.716667,4484
3,0,0,0,1,0.709167,0.665429,0.742083,4940
3,1,1,0,2,0.673333,0.625646,0.790417,3351
3,0,2,1,3,0.54,0.5152,0.886957,2710
3,0,3,1,3,0.599167,0.544229,0.917083,1996
3,0,4,1,3,0.633913,0.555361,0.939565,1842
3,0,5,1,2,0.65,0.578946,0.897917,3544
3,0,6,0,1,0.66,0.607962,0.75375,5345
3,0,0,0,1,0.653333,0.609229,0.71375,5046
3,0,1,1,1,0.644348,0.60213,0.692174,4713
3,0,2,1,1,0.650833,0.603554,0.7125,4763
3,0,3,1,1,0.673333,0.6269,0.697083,4785
3,0,4,1,2,0.5775,0.553671,0.709167,3659
3,0,5,1,2,0.469167,0.461475,0.590417,4760
3,0,6,0,2,0.491667,0.478512,0.718333,4511
3,0,0,0,1,0.5075,0.490537,0.695,4274
3,0,1,1,2,0.549167,0.529675,0.69,4539
3,0,2,1,2,0.561667,0.532217,0.88125,3641
3,0,3,1,2,0.595,0.550533,0.9,4352
3,0,4,1,2,0.628333,0.554963,0.902083,4795
4,0,5,1,2,0.609167,0.522125,0.9725,2395
4,0,6,0,2,0.606667,0.564412,0.8625,5423
4,0,0,0,2,0.634167,0.572637,0.845,5010
4,0,1,1,2,0.649167,0.589042,0.848333,4630
4,0,2,1,2,0.636667,0.574525,0.885417,4120
4,0,3,1,2,0.635,0.575158,0.84875,3907
4,0,4,1,1,0.616667,0.574512,0.699167,4839
4,0,5,1,1,0.564167,0.544829,0.6475,5202
4,0,6,0,2,0.41,0.412863,0.75375,2429
4,0,0,0,2,0.356667,0.345317,0.791667,2918
4,0,1,1,2,0.384167,0.392046,0.760833,3570
4,0,2,1,1,0.484167,0.472858,0.71,4456
4,0,3,1,1,0.538333,0.527138,0.647917,4826
4,0,4,1,1,0.494167,0.480425,0.620833,4765
4,0,5,1,1,0.510833,0.504404,0.684167,4985
4,0,6,0,1,0.521667,0.513242,0.70125,5409
4,0,0,0,1,0.540833,0.523983,0.7275,5511
4,1,1,0,1,0.570833,0.542925,0.73375,5117
4,0,2,1,2,0.566667,0.546096,0.80875,4563
4,0,3,1,3,0.543333,0.517717,0.90625,2416
4,0,4,1,2,0.589167,0.551804,0.896667,2913
4,0,5,1,2,0.550833,0.529675,0.71625,3644
4,0,6,0,1,0.506667,0.498725,0.483333,5217
4,0,0,0,1,0.511667,0.503154,0.486667,5041
4,0,1,1,1,0.534167,0.510725,0.579583,4570
4,0,2,1,2,0.5325,0.522721,0.701667,4748
4,0,3,1,3,0.541739,0.513848,0.895217,2424
4,0,4,1,1,0.475833,0.466525,0.63625,4195
4,0,5,1,1,0.4275,0.423596,0.574167,4304
4,0,6,0,1,0.4225,0.425492,0.629167,4308
4,0,0,0,1,0.421667,0.422333,0.74125,4381
4,0,1,1,1,0.463333,0.457067,0.772083,4187
4,0,2,1,1,0.471667,0.463375,0.622917,4687
4,0,3,1,2,0.484167,0.472846,0.720417,3894
4,0,4,1,2,0.47,0.457046,0.812917,2659
4,0,5,1,2,0.330833,0.318812,0.585833,3747
4,0,6,0,3,0.254167,0.227913,0.8825,627
4,0,0,0,1,0.319167,0.321329,0.62375,3331
4,0,1,1,1,0.34,0.356063,0.703333,3669
4,0,2,1,1,0.400833,0.397088,0.68375,4068
4,0,3,1,1,0.3775,0.390133,0.71875,4186
4,0,4,1,1,0.408333,0.405921,0.702083,3974
4,0,5,1,2,0.403333,0.403392,0.6225,4046
4,0,6,0,1,0.326667,0.323854,0.519167,3926
4,0,0,0,1,0.348333,0.362358,0.734583,3649
4,0,1,1,1,0.395,0.400871,0.75875,4035
4,0,2,1,1,0.408333,0.412246,0.721667,4205
4,0,3,1,1,0.4,0.409079,0.758333,4109
4,0,4,1,2,0.38,0.373721,0.813333,2933
4,1,5,0,1,0.324167,0.306817,0.44625,3368
4,0,6,0,1,0.356667,0.357942,0.552917,4067
4,0,0,0,1,0.440833,0.43055,0.458333,3717
4,0,1,1,1,0.53,0.524612,0.587083,4486
4,0,2,1,2,0.53,0.507579,0.68875,4195
4,0,3,1,3,0.456667,0.451988,0.93,1817
4,0,4,1,2,0.341667,0.323221,0.575833,3053
4,0,5,1,1,0.274167,0.272721,0.41,3392
4,0,6,0,1,0.329167,0.324483,0.502083,3663
4,0,0,0,2,0.463333,0.457058,0.684583,3520
4,0,1,1,3,0.4475,0.445062,0.91,2765
4,0,2,1,3,0.416667,0.421696,0.9625,1607
4,0,3,1,2,0.440833,0.430537,0.757917,2566
4,1,4,0,1,0.373333,0.372471,0.549167,1495
4,0,5,1,1,0.375,0.380671,0.64375,2792
4,0,6,0,1,0.375833,0.385087,0.681667,3068
4,0,0,0,1,0.459167,0.4558,0.698333,3071
4,0,1,1,1,0.503478,0.490122,0.743043,3867
4,0,2,1,2,0.458333,0.451375,0.830833,2914
4,0,3,1,1,0.325,0.311221,0.613333,3613
4,0,4,1,1,0.3125,0.305554,0.524583,3727
4,0,5,1,1,0.314167,0.331433,0.625833,3940
4,0,6,0,1,0.299167,0.310604,0.612917,3614
4,0,0,0,1,0.330833,0.3491,0.775833,3485
4,0,1,1,2,0.385833,0.393925,0.827083,3811
4,0,2,1,3,0.4625,0.4564,0.949583,2594
4,0,3,1,3,0.41,0.400246,0.970417,705
4,0,4,1,1,0.265833,0.256938,0.58,3322
4,0,5,1,1,0.290833,0.317542,0.695833,3620
4,0,6,0,1,0.275,0.266412,0.5075,3190
4,0,0,0,1,0.220833,0.253154,0.49,2743
4,0,1,1,1,0.238333,0.270196,0.670833,3310
4,0,2,1,1,0.2825,0.301138,0.59,3523
4,0,3,1,2,0.3175,0.338362,0.66375,3740
4,0,4,1,2,0.4225,0.412237,0.634167,3709
4,0,5,1,2,0.375,0.359825,0.500417,3577
4,0,6,0,2,0.258333,0.249371,0.560833,2739
4,0,0,0,1,0.238333,0.245579,0.58625,2431
4,0,1,1,1,0.276667,0.280933,0.6375,3403
4,0,2,1,2,0.385833,0.396454,0.595417,3750
1,0,3,1,2,0.428333,0.428017,0.858333,2660
1,0,4,1,2,0.423333,0.426121,0.7575,3068
1,0,5,1,1,0.373333,0.377513,0.68625,2209
1,0,6,0,1,0.3025,0.299242,0.5425,1011
1,0,0,0,1,0.274783,0.279961,0.681304,754
1,1,1,0,1,0.321739,0.315535,0.506957,1317
1,0,2,1,2,0.325,0.327633,0.7625,1162
1,0,3,1,1,0.29913,0.279974,0.503913,2302
1,0,4,1,1,0.248333,0.263892,0.574167,2423
1,0,5,1,1,0.311667,0.318812,0.636667,2999
1,0,6,0,1,0.41,0.414121,0.615833,2485
1,0,0,0,1,0.37,0.375621,0.6925,2294
1,1,1,0,1,0.273043,0.252304,0.381304,1951
1,0,2,1,1,0.15,0.126275,0.44125,2236
1,0,3,1,2,0.1075,0.119337,0.414583,2368
1,0,4,1,1,0.265833,0.278412,0.524167,3272
1,0,5,1,1,0.334167,0.340267,0.542083,4098
1,0,6,0,1,0.393333,0.390779,0.531667,4521
1,0,0,0,1,0.3375,0.340258,0.465,3425
1,0,1,1,2,0.224167,0.247479,0.701667,2376
1,0,2,1,1,0.308696,0.318826,0.646522,3598
1,0,3,1,2,0.274167,0.282821,0.8475,2177
1,0,4,1,2,0.3825,0.381938,0.802917,4097
1,0,5,1,1,0.274167,0.249362,0.5075,3214
1,0,6,0,1,0.18,0.183087,0.4575,2493
1,0,0,0,1,0.166667,0.161625,0.419167,2311
1,1,1,0,1,0.19,0.190663,0.5225,2298
1,0,2,1,2,0.373043,0.364278,0.716087,2935
1,0,3,1,1,0.303333,0.275254,0.443333,3376
1,0,4,1,1,0.19,0.190038,0.4975,3292
1,0,5,1,2,0.2175,0.220958,0.45,3163
1,0,6,0,2,0.173333,0.174875,0.83125,1301
1,0,0,0,2,0.1625,0.16225,0.79625,1977
1,0,1,1,2,0.218333,0.243058,0.91125,2432
1,0,2,1,1,0.3425,0.349108,0.835833,4339
1,0,3,1,1,0.294167,0.294821,0.64375,4270
1,0,4,1,2,0.341667,0.35605,0.769583,4075
1,0,5,1,2,0.425,0.415383,0.74125,3456
1,0,6,0,1,0.315833,0.326379,0.543333,4023
1,0,0,0,1,0.2825,0.272721,0.31125,3243
1,0,1,1,1,0.269167,0.262625,0.400833,3624
1,0,2,1,1,0.39,0.381317,0.416667,4509
1,0,3,1,1,0.469167,0.466538,0.507917,4579
1,0,4,1,2,0.399167,0.398971,0.672917,3761
1,0,5,1,1,0.313333,0.309346,0.526667,4151
1,0,6,0,2,0.264167,0.272725,0.779583,2832
1,0,0,0,2,0.265833,0.264521,0.687917,2947
1,0,1,1,1,0.282609,0.296426,0.622174,3784
1,0,2,1,1,0.354167,0.361104,0.49625,4375
1,0,3,1,2,0.256667,0.266421,0.722917,2802
1,0,4,1,1,0.265,0.261988,0.562083,3830
1,0,5,1,2,0.280833,0.293558,0.54,3831
1,0,6,0,3,0.224167,0.210867,0.73125,2169
1,0,0,0,1,0.1275,0.101658,0.464583,1529
1,0,1,1,1,0.2225,0.227913,0.41125,3422
1,0,2,1,2,0.319167,0.333946,0.50875,3922
1,0,3,1,1,0.348333,0.351629,0.53125,4169
1,0,4,1,2,0.316667,0.330162,0.752917,3005
1,0,5,1,1,0.343333,0.351629,0.634583,4154
1,0,6,0,1,0.346667,0.355425,0.534583,4318
1,0,0,0,2,0.28,0.265788,0.515833,2689
1,1,1,0,1,0.28,0.273391,0.507826,3129
1,0,2,1,1,0.287826,0.295113,0.594348,3777
1,0,3,1,1,0.395833,0.392667,0.567917,4773
1,0,4,1,1,0.454167,0.444446,0.554583,5062
1,0,5,1,2,0.4075,0.410971,0.7375,3487
1,0,6,0,1,0.290833,0.255675,0.395833,2732
1,0,0,0,1,0.279167,0.268308,0.41,3389
1,0,1,1,1,0.366667,0.357954,0.490833,4322
1,0,2,1,1,0.359167,0.353525,0.395833,4363
1,0,3,1,2,0.344348,0.34847,0.804783,1834
1,0,4,1,1,0.485833,0.475371,0.615417,4990
1,0,5,1,2,0.353333,0.359842,0.657083,3194
1,0,6,0,2,0.414167,0.413492,0.62125,4066
1,0,0,0,1,0.325833,0.303021,0.403333,3423
1,0,1,1,1,0.243333,0.241171,0.50625,3333
1,0,2,1,1,0.258333,0.255042,0.456667,3956
1,0,3,1,1,0.404167,0.3851,0.513333,4916
1,0,4,1,1,0.5275,0.524604,0.5675,5382
1,0,5,1,2,0.410833,0.397083,0.407083,4569
1,0,6,0,1,0.2875,0.277767,0.350417,4118
1,0,0,0,1,0.361739,0.35967,0.476957,4911
1,0,1,1,1,0.466667,0.459592,0.489167,5298
1,0,2,1,1,0.565,0.542929,0.6175,5847
1,0,3,1,1,0.5725,0.548617,0.507083,6312
1,0,4,1,1,0.5575,0.532825,0.579583,6192
1,0,5,1,2,0.435833,0.436229,0.842083,4378
1,0,6,0,2,0.514167,0.505046,0.755833,7836
1,0,0,0,2,0.4725,0.464,0.81,5892
1,0,1,1,1,0.545,0.532821,0.72875,6153
1,0,2,1,1,0.560833,0.538533,0.807917,6093
2,0,3,1,2,0.531667,0.513258,0.82125,6230
2,0,4,1,1,0.554167,0.531567,0.83125,6871
2,0,5,1,2,0.601667,0.570067,0.694167,8362
2,0,6,0,2,0.5025,0.486733,0.885417,3372
2,0,0,0,2,0.4375,0.437488,0.880833,4996
2,0,1,1,1,0.445833,0.43875,0.477917,5558
2,0,2,1,1,0.323333,0.315654,0.29,5102
2,0,3,1,1,0.484167,0.47095,0.48125,5698
2,0,4,1,1,0.494167,0.482304,0.439167,6133
2,0,5,1,2,0.37,0.375621,0.580833,5459
2,0,6,0,2,0.424167,0.421708,0.738333,6235
2,0,0,0,2,0.425833,0.417287,0.67625,6041
2,0,1,1,1,0.433913,0.427513,0.504348,5936
2,0,2,1,1,0.466667,0.461483,0.396667,6772
2,0,3,1,1,0.541667,0.53345,0.469583,6436
2,0,4,1,1,0.435,0.431163,0.374167,6457
2,0,5,1,1,0.403333,0.390767,0.377083,6460
2,0,6,0,1,0.4375,0.426129,0.254167,6857
2,0,0,0,1,0.5,0.492425,0.275833,5169
2,0,1,1,1,0.489167,0.476638,0.3175,5585
2,0,2,1,1,0.446667,0.436233,0.435,5918
2,0,3,1,1,0.348696,0.337274,0.469565,4862
2,0,4,1,1,0.3975,0.387604,0.46625,5409
2,0,5,1,1,0.4425,0.431808,0.408333,6398
2,0,6,0,1,0.495,0.487996,0.502917,7460
2,0,0,0,1,0.606667,0.573875,0.507917,7132
2,1,1,0,1,0.664167,0.614925,0.561667,6370
2,0,2,1,1,0.608333,0.598487,0.390417,6691
2,0,3,1,2,0.463333,0.457038,0.569167,4367
2,0,4,1,1,0.498333,0.493046,0.6125,6565
2,0,5,1,1,0.526667,0.515775,0.694583,7290
2,0,6,0,1,0.57,0.542921,0.682917,6624
2,0,0,0,3,0.396667,0.389504,0.835417,1027
2,0,1,1,2,0.321667,0.301125,0.766667,3214
2,0,2,1,1,0.413333,0.405283,0.454167,5633
2,0,3,1,1,0.476667,0.470317,0.427917,6196
2,0,4,1,2,0.498333,0.483583,0.756667,5026
2,0,5,1,1,0.4575,0.452637,0.400833,6233
2,0,6,0,2,0.376667,0.377504,0.489583,4220
2,0,0,0,1,0.458333,0.450121,0.587083,6304
2,0,1,1,2,0.464167,0.457696,0.57,5572
2,0,2,1,2,0.613333,0.577021,0.659583,5740
2,0,3,1,1,0.564167,0.537896,0.797083,6169
2,0,4,1,2,0.56,0.537242,0.768333,6421
2,0,5,1,1,0.6275,0.590917,0.735417,6296
2,0,6,0,2,0.621667,0.584608,0.756667,6883
2,0,0,0,2,0.5625,0.546737,0.74,6359
2,0,1,1,2,0.5375,0.527142,0.664167,6273
2,0,2,1,2,0.581667,0.557471,0.685833,5728
2,0,3,1,2,0.575,0.553025,0.744167,4717
2,0,4,1,1,0.505833,0.491783,0.552083,6572
2,0,5,1,1,0.533333,0.520833,0.360417,7030
2,0,6,0,1,0.564167,0.544817,0.480417,7429
2,0,0,0,1,0.6125,0.585238,0.57625,6118
2,0,1,1,2,0.573333,0.5499,0.789583,2843
2,0,2,1,2,0.611667,0.576404,0.794583,5115
2,0,3,1,1,0.636667,0.595975,0.697917,7424
